Y 89,,,,,,,,,,,,,,
Pd 102,,,,,,,,,,,,,,
Pd 104,,,,,,,,,,,,,,
Pd 105,,,,,,,,,,,,,,
Pd 106,,,,,,,,,,,,,,
Pd 108,,,,,,,,,,,,,,
Pd 110,,,,,,,,,,,,,,
In 113,In 115,,,,,,,,,,,,,
In 115,In 113,,,,,,,,,,,,,
La 139,Gd 155,,,,,,,,,,,,,
Ce 140,Nd 142,,,,,,,,,,,,,
Pr 141,Gd 157,,,,,,,,,,,,,
Nd 142,Nd 143,Nd 144,Nd 145,Nd 146,Gd 158,Ce 140,Nd 148,Nd 150,,,,,,
Nd 143,Nd 142,Nd 144,Nd 145,Nd 146,Tb 159,Nd 148,Nd 150,,,,,,,
Nd 144,Nd 142,Nd 143,Nd 145,Nd 146,Gd 160,Nd 148,Nd 150,,,,,,,
Nd 145,Nd 142,Nd 143,Nd 144,Nd 146,Nd 148,Nd 150,Dy 161,,,,,,,
Nd 146,Nd 142,Nd 144,Nd 145,Nd 148,Nd 150,Dy 162,Nd 143,,,,,,,
Sm 147,Nd 148,Sm 149,Nd 150,Sm 152,Sm 154,Dy 163,,,,,,,,
Nd 148,Nd 142,Nd 143,Nd 144,Nd 145,Nd 146,Nd 150,Dy 164,Sm 154,Sm 152,Sm 149,Sm 147,,,
Sm 149,Sm 147,Nd 148,Nd 150,Sm 152,Sm 154,Ho 165,,,,,,,,
Nd 150,Nd 142,Nd 143,Nd 144,Nd 145,Nd 146,Nd 148,Er 166,Sm 154,Sm 152,Sm 149,Sm 147,,,
Eu 151,Eu 153,,,,,,,,,,,,,
Sm 152,Sm 147,Nd 148,Sm 149,Nd 150,Sm 154,Er 168,,,,,,,,
Eu 153,Eu 151,,,,,,,,,,,,,
Sm 154,Nd 148,Sm 149,Nd 150,Sm 152,Er 170,Gd 155,Sm 147,,,,,,,
Gd 155,Sm 154,Gd 156,Gd 157,Gd 158,Gd 160,Yb 171,,,,,,,,
Gd 156,Gd 155,Gd 157,Gd 158,Gd 160,Yb 172,Gd 161,,,,,,,,
Gd 157,Gd 155,Gd 156,Gd 158,Gd 160,,,,,,,,,,
Gd 158,Gd 156,Gd 157,Gd 160,Dy 161,Yb 174,Gd 155,,,,,,,,
Tb 159,Lu 175,,,,,,,,,,,,,
Gd 160,Gd 155,Gd 156,Gd 157,Gd 158,Yb 176,Dy 163,Dy 161,,,,,,,
Dy 161,Gd 156,Gd 160,Dy 162,Dy 163,Dy 164,Gd 158,,,,,,,,
Dy 162,Dy 161,Dy 163,Dy 164,,,,,,,,,,,
Dy 163,Gd 160,Dy 161 ,Dy 162,Dy 164,,,,,,,,,,
Dy 164,Dy 161,Dy 162,Dy 163,,,,,,,,,,,
Ho 165,,,,,,,,,,,,,,
Er 166,Er 167,Er 168,Er 170,,,,,,,,,,,
Er 167,Er 166,Er 168,Er 170,,,,,,,,,,,
Er 168,Er 166,Er 167,Er 170,,,,,,,,,,,
Tm 169,,,,,,,,,,,,,,
Er 170,Er 166,Er 167,Er 168,Yb 171,,,,,,,,,,
Yb 171,Er 170,Yb 172,Yb 173,Yb 174,Yb 176,,,,,,,,,
Yb 172,Yb 171,Yb 173,Yb 174,Yb 176,,,,,,,,,,
Yb 173,Yb 171,Yb 172,Yb 174,Yb 176,,,,,,,,,,4
Yb 174,Yb 172,Yb 173,Yb 176,Yb 171,,,,,,,,,,
Lu 175,Yb 176,,,,,,,,,,,,,
Yb 176,Yb171,Yb 172,Yb 173,Yb 174,Lu 175,,,,,,,,,
Bi 209,,,,,,,,,,,,,,
